MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	NP_536615-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.31(%id)	100.0(%cover)
	YP_010085678-hypothetical-protein-KM543_gp010-[Orthopoxvirus-Abatino]	92.68(%id)	100.0(%cover)
	NP_619806-CPXV017-protein-[Cowpox-virus]	90.62(%id)	100.0(%cover)
MPXV-UK_P2-006	D3R	006-epidermal-growth-factor-like-protein-EGF-like-protein	Secreted EGF-like protein (Cop-C11R); D3R; similar to Vaccinia virus strain Copenhagen C11R; secreted growth factor 
	NP_536433-epidermal-growth-factor-like-protein-(EGF-like-protein)-[Monkeypox-virus-Zaire-96-I-16]	99.30(%id)	100.0(%cover)
	NP_619810-CPXV021-protein-or-CPXV-VGF-protein-[Cowpox-virus]	93.48(%id)	97.2(%cover)
	YP_232891-secreted-epidermal-growth-factor-like-[Vaccinia-virus]	93.53(%id)	97.2(%cover)
	YP_233092-secreted-epidermal-growth-factor-like-protein-[Vaccinia-virus]	93.53(%id)	97.2(%cover)
	NP_570400-epidermal-growth-factor-like-protein-(EGF-like-protein)-[Camelpox-virus]	90.65(%id)	97.2(%cover)
MPXV-UK_P2-008	D5R	008-zinc-finger-like-protein	Zinc finger-like protein; D5R; zinc binding; virosome localization; virulence factor; inhibition of apoptosis induced by UV irradiation 
	NP_536435-zinc-finger-like-protein-[Monkeypox-virus-Zaire-96-I-16]	98.76(%id)	100.0(%cover)
	YP_010085684-putative-EVM012-protein-[Orthopoxvirus-Abatino]	95.87(%id)	100.0(%cover)
	NP_671530-zinc-finger-like-protein-[Ectromelia-virus]	92.56(%id)	100.0(%cover)
	NP_619812-CPXV023-protein-[Cowpox-virus]	95.04(%id)	100.0(%cover)
	NP_042048-zinc-finger-like-protein-[Variola-virus]	95.04(%id)	100.0(%cover)
	NP_570403-zinc-finger-like-protein-[Camelpox-virus]	93.39(%id)	100.0(%cover)
	YP_717323-zinc-finger-like-protein-[Taterapox-virus]	93.80(%id)	100.0(%cover)
MPXV-UK_P2-009	D6L	009-IL-18-binding-protein	Soluble IL-18 binding protein (Bsh-D7L); D6L; secreted IL-18 binding protein 
	NP_536436-IL-18-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	99.21(%id)	100.0(%cover)
	YP_010085685-putative-EVM013-protein-[Orthopoxvirus-Abatino]	95.24(%id)	100.0(%cover)
	YP_717324-IL-18-binding-protein-[Taterapox-virus]	93.65(%id)	100.0(%cover)
	NP_619813-CPXV024-protein-[Cowpox-virus]	92.86(%id)	100.0(%cover)
	NP_042049-IL-18-binding-protein-[Variola-virus]	91.27(%id)	100.0(%cover)
	NP_671531-IL-18-binding-protein-[Ectromelia-virus]	92.62(%id)	96.8(%cover)
MPXV-UK_P2-010	D7L	010-ankyrin-like-protein	Ankyrin/Host Range (Bang-D8L); D7L; host range; ankyrin-like 
	NP_536437-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	98.48(%id)	100.0(%cover)
	YP_717325-ankyrin-like-protein-[Taterapox-virus]	95.17(%id)	100.0(%cover)
	YP_010085686-putative-VHR1-protein-[Orthopoxvirus-Abatino]	91.48(%id)	100.0(%cover)
	NP_619814-VHR1-or-CPXV025-protein-[Cowpox-virus]	91.03(%id)	100.0(%cover)
MPXV-UK_P2-011	D8L	011	ANK-containing protein; D8L 
MPXV-UK_P2-012	D9L	012-ankyrin-like-protein	Ankyrin Type I IFN resistance (Cop-C9L); D9L; similar to Vaccinia virus strain Copenhagen C9L; ankyrin-like 
	NP_536439-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.52(%id)	100.0(%cover)
MPXV-UK_P2-013	D10L	013-host-range-protein	Type 1 IFN inhibitor (Cop-C7L); D10L; similar to Vaccinia virus strain Copenhagen C7L; host range 
	NP_536440-host-range-protein-[Monkeypox-virus-Zaire-96-I-16]	98.00(%id)	100.0(%cover)
	NP_042052-host-range-protein-[Variola-virus]	98.67(%id)	100.0(%cover)
	YP_717329-host-range-protein-[Taterapox-virus]	98.67(%id)	100.0(%cover)
	YP_232903-host-range-protein-[Vaccinia-virus]	98.00(%id)	100.0(%cover)
	NP_570409-host-range-protein-[Camelpox-virus]	97.33(%id)	100.0(%cover)
	NP_619818-CPXV029-protein-[Cowpox-virus]	95.33(%id)	100.0(%cover)
	YP_010085690-hypothetical-protein-KM543_gp022-[Orthopoxvirus-Abatino]	95.33(%id)	100.0(%cover)
	NP_671533-host-range-protein-[Ectromelia-virus]	94.00(%id)	100.0(%cover)
	YP_010085473-host-range-factor-[Akhmeta-virus]	90.67(%id)	100.0(%cover)
MPXV-UK_P2-014	D11L	014-hypothetical-protein-MPXVgp014	Bcl-2-like protein, IFN-beta inhibitor (Cop-C6L); D11L; similar to Vaccinia virus strain Copenhagen C6L 
	NP_536441-hypothetical-protein-MPXVgp014-[Monkeypox-virus-Zaire-96-I-16]	99.34(%id)	98.1(%cover)
	NP_042053-hypothetical-protein-VARVgp009-[Variola-virus]	92.21(%id)	99.4(%cover)
	NP_570410-hypothetical-protein-CamMLVgp020-[Camelpox-virus]	91.56(%id)	99.4(%cover)
	NP_619819-CPXV030-protein-[Cowpox-virus]	90.32(%id)	100.0(%cover)
	YP_717330-hypothetical-protein-TATV_DAH68_023-[Taterapox-virus]	90.26(%id)	99.4(%cover)
	YP_010085691-putative-C6L-protein-[Orthopoxvirus-Abatino]	90.91(%id)	99.4(%cover)
	NP_671534-hypothetical-protein-ECTVgp016-[Ectromelia-virus]	90.32(%id)	100.0(%cover)
	YP_232904-hypothetical-protein-VACWR022-[Vaccinia-virus]	91.72(%id)	93.5(%cover)
MPXV-UK_P2-015	D12L	015-D12L	Kelch-like protein (Cop-C5L); D12L; similar to Vaccinia virus strain Copenhagen C5L; BTB domain of kelch-like protein 
	NP_536442-D12L-[Monkeypox-virus-Zaire-96-I-16]	99.03(%id)	100.0(%cover)
	YP_232905-hypothetical-protein-VACWR023-[Vaccinia-virus]	94.30(%id)	93.7(%cover)
	NP_570411-CMLV021-[Camelpox-virus]	92.75(%id)	93.2(%cover)
MPXV-UK_P2-016	D13L	016-hypothetical-protein-MPXVgp016	IL-1 receptor antagonist (Cop-C10L); D13L; similar to Vaccinia virus strain Copenhagen C4L 
	NP_536443-hypothetical-protein-MPXVgp016-[Monkeypox-virus-Zaire-96-I-16]	98.42(%id)	100.0(%cover)
	YP_232906-hypothetical-protein-VACWR024-[Vaccinia-virus]	94.62(%id)	100.0(%cover)
	NP_570412-hypothetical-protein-CamMLVgp022-[Camelpox-virus]	93.97(%id)	99.7(%cover)
	NP_619822-CPXV033-[Cowpox-virus]	92.41(%id)	100.0(%cover)
	YP_717332-hypothetical-protein-TATV_DAH68_025-[Taterapox-virus]	93.04(%id)	100.0(%cover)
	NP_042055-hypothetical-protein-VARVgp011-[Variola-virus]	92.09(%id)	100.0(%cover)
	YP_010085694-putative-C4L-protein-[Orthopoxvirus-Abatino]	92.72(%id)	100.0(%cover)
MPXV-UK_P2-017	D18L	017	POZ/BTB Kelch domain protein (Cop-C2L) kelch-like fragment; D18L 
MPXV-UK_P2-018	D19L	018-Hypothetical-protein-MPXVgp022	Putative TLR signalling inhibitor (Cop-C1L); D19L; similar to Vaccinia virus strain Copenhagen C1L 
	NP_536449-Hypothetical-protein-MPXVgp022-[Monkeypox-virus-Zaire-96-I-16]	99.53(%id)	100.0(%cover)
	NP_619825-CPXV036-protein-[Cowpox-virus]	95.79(%id)	100.0(%cover)
	YP_232909-hypothetical-protein-VACWR027-[Vaccinia-virus]	94.39(%id)	100.0(%cover)
	YP_010085480-hypothetical-protein-KM542_gp032-[Akhmeta-virus]	93.46(%id)	100.0(%cover)
	YP_010085697-putative-C1L-protein-[Orthopoxvirus-Abatino]	90.14(%id)	99.5(%cover)
	NP_042059-hypothetical-protein-VARVgp015-[Variola-virus]	92.06(%id)	100.0(%cover)
MPXV-UK_P2-019	P1L	019-putative-virulence-factor	Anti-apoptotic Bcl-2-like protein (Cop-N1L); P1L; similar to Vaccinia virus strain Copenhagen N1L; secreted virulence factor 
	NP_536450-putative-virulence-factor-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085698-putative-N1L-protein-[Orthopoxvirus-Abatino]	97.44(%id)	100.0(%cover)
	NP_671537-putative-virulence-factor-[Ectromelia-virus]	95.73(%id)	100.0(%cover)
	NP_570416-putative-virulence-factor-[Camelpox-virus]	94.02(%id)	100.0(%cover)
	NP_042060-putative-virulence-factor-[Variola-virus]	92.31(%id)	100.0(%cover)
	YP_717337-putative-virulence-factor-[Taterapox-virus]	92.31(%id)	100.0(%cover)
	NP_619826-CPXV037-protein-[Cowpox-virus]	90.60(%id)	100.0(%cover)
MPXV-UK_P2-020	P2L	020-putative-alpha-aminitin-sensitive-protein	Alpha amanatin target protein (Cop-N2L); P2L; similar to Vaccinia virus strain Copenhagen N2L 
	NP_536451-putative-alpha-aminitin-sensitive-protein-[Monkeypox-virus-Zaire-96-I-16]	98.87(%id)	100.0(%cover)
	YP_010085699-hypothetical-protein-KM543_gp031-[Orthopoxvirus-Abatino]	95.48(%id)	100.0(%cover)
	NP_671538-putative-alpha-aminitin-sensitive-protein-[Ectromelia-virus]	95.48(%id)	100.0(%cover)
	YP_232911-alpha-amanitin-target-[Vaccinia-virus]	92.00(%id)	98.9(%cover)
MPXV-UK_P2-021	O1L	021-ankyin-like-protein	ANK-containing protein apoptosis inihibitor (Cop-M1L); O1L; similar to Vaccinia virus strain Copenhagen M1L; ankyrin-like 
	NP_536452-ankyin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.32(%id)	100.0(%cover)
	YP_717339-ankyin-like-protein-[Taterapox-virus]	96.83(%id)	100.0(%cover)
	YP_232912-ankyrin-like-protein-[Vaccinia-virus]	96.84(%id)	100.0(%cover)
	NP_042062-ankyin-like-protein-[Variola-virus]	95.93(%id)	100.0(%cover)
	YP_010085700-putative-M1L-protein-[Orthopoxvirus-Abatino]	95.48(%id)	100.0(%cover)
	NP_570418-ankyin-like-protein-[Camelpox-virus]	94.80(%id)	100.0(%cover)
	NP_671539-ankyin-like-protein-[Ectromelia-virus]	95.48(%id)	100.0(%cover)
	NP_619828-CPXV039-[Cowpox-virus]	94.34(%id)	100.0(%cover)
	YP_010085483-ankyrin-containing-protein-[Akhmeta-virus]	94.57(%id)	100.0(%cover)
MPXV-UK_P2-022	O2L	022-hypothetical-protein-MPXVgp026	NFkB inhibitor (Cop-M2L); O2L; similar to Vaccinia virus strain Copenhagen M2L 
	NP_536453-hypothetical-protein-MPXVgp026-[Monkeypox-virus-Zaire-96-I-16]	99.09(%id)	100.0(%cover)
	YP_232913-hypothetical-protein-VACWR031-[Vaccinia-virus]	97.27(%id)	100.0(%cover)
	NP_042063-hypothetical-protein-VARVgp019-[Variola-virus]	94.55(%id)	100.0(%cover)
	YP_717340-hypothetical-protein-TATV_DAH68_033-[Taterapox-virus]	93.64(%id)	100.0(%cover)
	YP_010085701-putative-M2L-protein-[Orthopoxvirus-Abatino]	92.27(%id)	100.0(%cover)
	NP_570419-hypothetical-protein-CamMLVgp029-[Camelpox-virus]	93.18(%id)	100.0(%cover)
	YP_010085484-NF-kappaB-inhibitor-[Akhmeta-virus]	91.82(%id)	100.0(%cover)
	NP_619829-CPXV040-protein-[Cowpox-virus]	91.82(%id)	100.0(%cover)
MPXV-UK_P2-023	C1L	023-ankyrin-like-protein	Ankyrin/NFkB inhibitor (Cop-K1L); C1L; similar to Vaccinia virus strain Copenhagen K1L; host range; ankyrin-like 
	NP_536454-ankyrin-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.65(%id)	100.0(%cover)
	YP_232914-ankyrin-like-protein-[Vaccinia-virus]	95.77(%id)	99.6(%cover)
	NP_671540-ankyrin-like-protein-[Ectromelia-virus]	94.35(%id)	99.3(%cover)
	YP_010085702-putative-K1L-protein-[Orthopoxvirus-Abatino]	94.01(%id)	99.6(%cover)
	NP_619830-CPXV041-protein-[Cowpox-virus]	94.01(%id)	99.6(%cover)
	YP_010085485-ankyrin-containing-protein-[Akhmeta-virus]	92.96(%id)	99.6(%cover)
MPXV-UK_P2-024	C2L	024-serine-protease-inhibitor-like-protein	Serpin 1,2,3 (Cop-K2L) SPI-3; C2L; similar to Vaccinia virus strain Copenhagen K2L; serine protease inhibitor-like, SPI-3; inhibition of the ability of infected cells to fuse 
	NP_536455-serine-protease-inhibitor-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.47(%id)	100.0(%cover)
	NP_619831-SPI3-or-CPXV042-protein-[Cowpox-virus]	94.64(%id)	99.5(%cover)
	YP_717343-serine-protease-inhibitor-like-protein-[Taterapox-virus]	94.10(%id)	99.5(%cover)
	NP_570421-serine-protease-inhibitor-like-protein-[Camelpox-virus]	93.03(%id)	99.5(%cover)
	YP_010085703-putative-K2L-protein-[Orthopoxvirus-Abatino]	92.23(%id)	99.5(%cover)
	NP_671541-serine-protease-inhibitor-like-protein-[Ectromelia-virus]	92.23(%id)	99.5(%cover)
	NP_042066-serine-protease-inhibitor-like-protein-[Variola-virus]	91.96(%id)	99.5(%cover)
	YP_010085486-serprin-3-[Akhmeta-virus]	91.42(%id)	99.5(%cover)
	YP_232915-serine-protease-inhibitor-like-[Vaccinia-virus]	91.96(%id)	99.5(%cover)
MPXV-UK_P2-025	C3L	025	IFN resistance, PKR/eIF-alpha inhibitor (Cop-K3 L); C3L 
MPXV-UK_P2-026	C4L	026-phospholipase-D-like-protein	Phospholipase-D-like protein (Cop-K4L); C4L; similar to Vaccinia virus strain Copenhagen K4L; phospholipase D-like 
	NP_536457-phospholipase-D-like-protein-[Monkeypox-virus-Zaire-96-I-16]	99.76(%id)	100.0(%cover)
	YP_232917-phospholipase-D-like-protein-[Vaccinia-virus]	97.41(%id)	100.0(%cover)
	YP_010085705-putative-K4L-protein-[Orthopoxvirus-Abatino]	96.70(%id)	100.0(%cover)
	NP_619833-CPXV044-[Cowpox-virus]	96.23(%id)	100.0(%cover)
	YP_010085488-nicking/joining-enzyme-[Akhmeta-virus]	95.28(%id)	100.0(%cover)
	YP_717345-phospholipase-D-like-protein-[Taterapox-virus]	95.28(%id)	100.0(%cover)
	NP_570423-phospholipase-D-like-protein-[Camelpox-virus]	95.05(%id)	100.0(%cover)
MPXV-UK_P2-027	C5L	027-monoglyceride-lipase	Monoglyceride lipase (Cop-K5L); C5L; lysophospholipase-like 
	NP_536458-monoglyceride-lipase-[Monkeypox-virus-Zaire-96-I-16]	99.28(%id)	100.0(%cover)
	NP_671542-monoglyceride-lipase-[Ectromelia-virus]	97.83(%id)	100.0(%cover)
	YP_010085706-putative-K5L-protein-[Orthopoxvirus-Abatino]	96.74(%id)	100.0(%cover)
	NP_619834-CPXV045-protein-[Cowpox-virus]	95.65(%id)	100.0(%cover)
	YP_010085489-hypothetical-protein-KM542_gp041-[Akhmeta-virus]	96.00(%id)	99.6(%cover)
	YP_717346-monoglyceride-lipase-[Taterapox-virus]	95.64(%id)	99.6(%cover)
MPXV-UK_P2-028	C6R	028-unchracterized-protein	Host immune response repressor (Cop-K7R); C6R; similar to Vaccinia virus strain Copenhagen K7R; VAC B15R-like 
	NP_536459-unchracterized-protein-[Monkeypox-virus-Zaire-96-I-16]	97.99(%id)	100.0(%cover)
	NP_042068-unchracterized-protein-[Variola-virus]	96.64(%id)	100.0(%cover)
	YP_010085707-putative-K7R-protein-[Orthopoxvirus-Abatino]	95.97(%id)	100.0(%cover)
	NP_619835-CPXV046-protein-[Cowpox-virus]	95.97(%id)	100.0(%cover)
	YP_232921-hypothetical-protein-VACWR039-[Vaccinia-virus]	94.63(%id)	100.0(%cover)
	YP_010085490-hypothetical-protein-KM542_gp042-[Akhmeta-virus]	92.62(%id)	100.0(%cover)
	NP_570425-unchracterized-protein-[Camelpox-virus]	95.21(%id)	98.0(%cover)
	YP_717347-unchracterized-protein-[Taterapox-virus]	95.21(%id)	98.0(%cover)
MPXV-UK_P2-029	C7L	029-Hypothetical-protein-MPXVgp033	Caspase-9 (apoptosis) inhibitor (mitochondrial- associated) (Cop-F1L); C7L; similar to Vaccinia virus strain Copenhagen F1L 
	NP_536460-Hypothetical-protein-MPXVgp033-[Monkeypox-virus-Zaire-96-I-16]	99.09(%id)	100.0(%cover)
MPXV-UK_P2-030	C8L	030-dUTPase	dUTPase (Cop-F2L); C8L; similar to Vaccinia virus strain Copenhagen F2L; deoxyuridine triphosphatase 
	NP_536461-dUTPase-[Monkeypox-virus-Zaire-96-I-16]	99.34(%id)	100.0(%cover)
	YP_232923-dUTPase-[Vaccinia-virus]	97.96(%id)	97.4(%cover)
	YP_010085709-putative-F2L-protein-[Orthopoxvirus-Abatino]	97.28(%id)	97.4(%cover)
	NP_671544-dUTPase-[Ectromelia-virus]	97.28(%id)	97.4(%cover)
	NP_570427-dUTPase-[Camelpox-virus]	97.28(%id)	97.4(%cover)
	NP_619837-CPXV049-protein-[Cowpox-virus]	97.28(%id)	97.4(%cover)
	NP_042070-dUTPase-[Variola-virus]	97.28(%id)	97.4(%cover)
	YP_717349-dUTPase-[Taterapox-virus]	96.60(%id)	97.4(%cover)
	YP_010085493-dUTPase-[Akhmeta-virus]	97.92(%id)	95.4(%cover)
MPXV-UK_P2-031	C9L	031-Kelch-like-protein	Kelch-like protein (Cop-F3L); C9L; similar to Vaccinia virus strain Copenhagen F3L; kelch-like 
	NP_536462-Kelch-like-protein-[Monkeypox-virus-Zaire-96-I-16]	98.76(%id)	100.0(%cover)
	YP_232924-kelch-like-protein-[Vaccinia-virus]	96.87(%id)	99.4(%cover)
	YP_717350-Kelch-like-protein-[Taterapox-virus]	96.03(%id)	99.4(%cover)
	NP_570428-Kelch-like-protein-[Camelpox-virus]	95.82(%id)	99.4(%cover)
	NP_619838-CPXV050-[Cowpox-virus]	95.41(%id)	99.4(%cover)
	NP_671545-Kelch-like-protein-[Ectromelia-virus]	94.61(%id)	100.0(%cover)
	YP_010085710-putative-F3L-protein-[Orthopoxvirus-Abatino]	93.95(%id)	99.4(%cover)
	YP_010085494-kelch-like-protein-[Akhmeta-virus]	93.11(%id)	99.4(%cover)
MPXV-UK_P2-032	C10L	032-ribonucleotide-reductase-small-subunit	Ribonucleotide reductase small subunit (Cop-F4L); C10L; similar to Vaccinia virus strain Copenhagen F4L; ribonucleotide reductase, small subunit, R2 
	NP_536463-C10L-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_671546-EVM028-[Ectromelia-virus]	98.43(%id)	100.0(%cover)
	YP_232925-ribonucleotide-reductase-small-subunit-[Vaccinia-virus]	98.75(%id)	100.0(%cover)
	YP_717351-ribonucleotide-reductase-small-subunit-[Taterapox-virus]	98.75(%id)	100.0(%cover)
	YP_010085711-putative-F4L-protein-[Orthopoxvirus-Abatino]	98.12(%id)	100.0(%cover)
	NP_619839-CPXV051-protein-[Cowpox-virus]	97.81(%id)	100.0(%cover)
	NP_042072-Ribonucleoside-diphosphate-reductase-small-chain-[Variola-virus]	97.49(%id)	100.0(%cover)
	YP_010085495-ribonuclease-reductase-S-subunit-[Akhmeta-virus]	97.49(%id)	100.0(%cover)
	NP_570429-CMLV039-[Camelpox-virus]	97.49(%id)	100.0(%cover)
	YP_009282734-ribonucleotide-reductase-small-subunit-[Skunkpox-virus]	93.73(%id)	100.0(%cover)
	YP_009143350-Ribonucleotide-reductase-small-subunit-protein-[Raccoonpox-virus]	93.10(%id)	100.0(%cover)
	YP_009281788-ribonucleotide-reductase-small-subunit-[Volepox-virus]	93.10(%id)	100.0(%cover)
MPXV-UK_P2-033	C11L	033-Hypothetical-protein-MPXVgp037	36kDa major membrane protein (Cop-F5L); C11L; similar to Vaccinia virus strain Copenhagen F5L 
	NP_536464-Hypothetical-protein-MPXVgp037-[Monkeypox-virus-Zaire-96-I-16]	98.11(%id)	100.0(%cover)
	YP_232926-hypothetical-protein-VACWR044-[Vaccinia-virus]	92.26(%id)	100.0(%cover)
MPXV-UK_P2-034	C12L	034-hypothetical-protein-MPXVgp038	Hypothetical protein (Cop-F6L); C12L; similar to Vaccinia virus strain Copenhagen F6L 
	NP_536465-hypothetical-protein-MPXVgp038-[Monkeypox-virus-Zaire-96-I-16]	98.61(%id)	96.0(%cover)
	YP_232927-hypothetical-protein-VACWR045-[Vaccinia-virus]	96.00(%id)	100.0(%cover)
	YP_010085713-putative-F6L-protein-[Orthopoxvirus-Abatino]	90.67(%id)	100.0(%cover)
MPXV-UK_P2-035	C13L	035-hypothetical-protein-MPXVgp039	Hypothetical protein (Cop-F7L); C13L; similar to Vaccinia virus strain Copenhagen F7L 
	NP_536466-hypothetical-protein-MPXVgp039-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232928-hypothetical-protein-VACWR046-[Vaccinia-virus]	93.42(%id)	100.0(%cover)
MPXV-UK_P2-036	C14L	036-Hypothetical-protein-MPXVgp040	Cytoplasmic protein (Cop-F8L); C14L; similar to Vaccinia virus strain Copenhagen F8L 
	NP_536467-Hypothetical-protein-MPXVgp040-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
MPXV-UK_P2-037	C15L	037-S-S-bond-formation-pathway-protein	S-S bond formation pathway protein substrate (Cop-F9L); C15L; similar to Vaccinia virus strain Copenhagen F9L 
	NP_536468-S-S-bond-formation-pathway-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_671550-S-S-bond-formation-pathway-protein-[Ectromelia-virus]	99.06(%id)	100.0(%cover)
	YP_232930-S-S-bond-formation-pathway-protein-[Vaccinia-virus]	99.06(%id)	100.0(%cover)
	YP_010085716-putative-F9L-protein-[Orthopoxvirus-Abatino]	98.58(%id)	100.0(%cover)
	YP_717356-S-S-bond-formation-pathway-protein-[Taterapox-virus]	99.53(%id)	100.0(%cover)
	NP_570434-S-S-bond-formation-pathway-protein-[Camelpox-virus]	98.11(%id)	100.0(%cover)
	NP_619844-CPXV056-protein-[Cowpox-virus]	97.64(%id)	100.0(%cover)
	NP_042077-S-S-bond-formation-pathway-protein-[Variola-virus]	97.64(%id)	100.0(%cover)
	YP_010085500-hypothetical-protein-KM542_gp052-[Akhmeta-virus]	96.70(%id)	100.0(%cover)
	YP_009143355-S-S-bond-formation-pathway-protein-[Raccoonpox-virus]	91.51(%id)	100.0(%cover)
MPXV-UK_P2-038	C16L	038-Ser_Thr-kinase	Essential Ser/Thr kinase morph (Cop-F10L); C16L; similar to Vaccinia virus strain Copenhagen F10L; serine 
	NP_536469-Ser/Thr-kinase-[Monkeypox-virus-Zaire-96-I-16]	99.54(%id)	100.0(%cover)
	YP_232931-ser/thr-kinase-[Vaccinia-virus]	99.32(%id)	100.0(%cover)
	NP_619845-CPXV057-protein-[Cowpox-virus]	99.09(%id)	100.0(%cover)
	YP_010085717-putative-F10L-protein-[Orthopoxvirus-Abatino]	98.86(%id)	100.0(%cover)
	NP_671551-Ser/Thr-kinase-[Ectromelia-virus]	98.86(%id)	100.0(%cover)
	YP_717357-Ser/Thr-kinase-[Taterapox-virus]	98.86(%id)	100.0(%cover)
	YP_010085501-Ser/Thr-kinase-[Akhmeta-virus]	98.63(%id)	100.0(%cover)
	NP_570435-Ser/Thr-kinase-[Camelpox-virus]	98.41(%id)	100.0(%cover)
	NP_042078-Ser/Thr-kinase-[Variola-virus]	98.63(%id)	100.0(%cover)
	YP_009282740-essential-ser/thr-kinase-morph-[Skunkpox-virus]	96.81(%id)	100.0(%cover)
	YP_009281794-essential-ser/thr-kinase-morph-[Volepox-virus]	96.36(%id)	100.0(%cover)
	YP_009143356-Ser/Thr-kinase-[Raccoonpox-virus]	95.90(%id)	100.0(%cover)
MPXV-UK_P2-039	C17L	039-Hypothetical-protein-MPXVgp043	RhoA signalling inhibitor, virus release protein (Cop-F11L); C17L; similar to Vaccinia virus strain Copenhagen F11L 
	NP_536470-Hypothetical-protein-MPXVgp043-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619846-CPXV059-protein-[Cowpox-virus]	96.33(%id)	100.0(%cover)
	YP_010085718-putative-F11L-protein-[Orthopoxvirus-Abatino]	96.05(%id)	100.0(%cover)
	YP_010085503-hypothetical-protein-KM542_gp055-[Akhmeta-virus]	94.92(%id)	100.0(%cover)
	NP_671552-Hypothetical-protein-ECTVgp034-[Ectromelia-virus]	95.20(%id)	100.0(%cover)
	YP_717358-Hypothetical-protein-TATV_DAH68_051-[Taterapox-virus]	95.48(%id)	100.0(%cover)
	NP_570436-Hypothetical-protein-CamMLVgp046-[Camelpox-virus]	94.92(%id)	100.0(%cover)
	YP_232932-hypothetical-protein-VACWR050-[Vaccinia-virus]	95.20(%id)	100.0(%cover)
	NP_042079-hypothetical-protein-VARVgp035-[Variola-virus]	93.50(%id)	100.0(%cover)
MPXV-UK_P2-040	C18L	040-EEV-maturation-protein	EEV maturation protein (Cop-F12L); C18L; similar to Vaccinia virus strain Copenhagen F12L; actin tail formation 
	NP_536471-EEV-maturation-protein-[Monkeypox-virus-Zaire-96-I-16]	99.21(%id)	100.0(%cover)
	YP_010085719-putative-F12L-protein-[Orthopoxvirus-Abatino]	97.32(%id)	100.0(%cover)
	NP_619847-CPXV060-protein-[Cowpox-virus]	97.48(%id)	100.0(%cover)
	NP_671553-EEV-maturation-protein-[Ectromelia-virus]	97.17(%id)	100.0(%cover)
